iter	Passed	Remaining
878	17196	2367
879	17216	2347
880	17238	2328
881	17274	2311
882	17302	2292
883	17331	2274
884	17351	2254
885	17370	2235
886	17388	2215
887	17405	2195
888	17422	2175
889	17442	2155
890	17462	2136
891	17483	2116
892	17500	2096
893	17519	2077
894	17540	2057
895	17559	2038
896	17579	2018
897	17598	1998
898	17616	1979
899	17634	1959
900	17653	1939
901	17670	1919
902	17687	1900
903	17705	1880
904	17723	1860
905	17742	1840
906	17765	1821
907	17783	1801
908	17803	1782
909	17831	1763
910	17853	1744
911	17875	1724
912	17897	1705
913	17915	1685
914	17934	1666
915	17954	1646
916	17973	1626
917	17989	1606
918	18009	1587
919	18029	1567
920	18050	1548
921	18074	1529
922	18096	1509
923	18115	1490
924	18136	1470
925	18158	1451
926	18180	1431
927	18198	1411
928	18217	1392
929	18238	1372
930	18258	1353
931	18275	1333
932	18292	1313
933	18310	1293
934	18334	1274
935	18357	1255
936	18377	1235
937	18400	1216
938	18421	1196
939	18440	1177
940	18459	1157
941	18477	1137
942	18496	1118
943	18512	1098
944	18530	1078
945	18550	1058
946	18571	1039
947	18588	1019
948	18609	1000
949	18625	980
950	18647	960
951	18669	941
952	18691	921
953	18710	902
954	18728	882
955	18746	862
956	18765	843
957	18788	823
958	18807	804
959	18825	784
960	18845	764
961	18862	745
962	18882	725
963	18900	705
964	18917	686
965	18936	666
966	18958	646
967	18978	627
968	19002	607
969	19022	588
970	19042	568
971	19062	549
972	19088	529
973	19107	510
974	19124	490
975	19145	470
976	19163	451
977	19181	431
978	19201	411
979	19224	392
980	19245	372
981	19264	353
982	19284	333
983	19306	313
984	19330	294
985	19352	274
986	19369	255
987	19388	235
988	19408	215
989	19423	196
990	19439	176
991	19460	156
992	19478	137
993	19495	117
994	19515	98
995	19536	78
996	19556	58
997	19579	39
998	19600	19
999	19622	0
